Light Sour Blend,93.58,-0.20,['-0.21%(10\n\tHours Delay)']
Peace Sour,91.48,-0.20,['-0.22%(10\n\tHours Delay)']
Syncrude Sweet Premium,97.13,-0.20,['-0.21%(10\n\tHours Delay)']
Sweet Crude,94.33,-0.20,['-0.21%(10\n\tHours Delay)']
US High Sweet Clearbrook,99.33,-0.20,['-0.20%(10\n\tHours Delay)']
Midale,91.38,-0.20,['-0.22%(10\n\tHours Delay)']
Albian Heavy Synthetic,95.28,-0.20,['-0.21%(10\n\tHours Delay)']
West Texas Sour,89.98,-0.20,['-0.22%(1 day Delay)']
West Texas Intermediate,92.48,-0.20,['-0.22%(1 day Delay)']
Upper Texas Gulf Coast,80.28,-0.20,['-0.25%(1 day Delay)']
Texas Gulf Coast Light,90.98,-0.20,['-0.22%(1 day Delay)']
South Texas Sour,86.37,-0.20,['-0.23%(1 day Delay)']
North Texas Sweet,92.50,-0.25,['-0.27%(1 day Delay)']
Eagle Ford Pipeline,92.48,-0.20,['-0.22%(1 day Delay)']
Eagle Ford Condensate,91.48,-0.20,['-0.22%(1 day Delay)']
Eagle Ford,93.93,-0.20,['-0.21%(1 day Delay)']
Tx. Upper Gulf Coast,86.25,-0.25,['-0.29%(1 day Delay)']
South Texas Light,86.25,-0.25,['-0.29%(1 day Delay)']
W. Tx./N. Mex. Inter.,92.50,-0.25,['-0.27%(1 day Delay)']
South Texas Heavy,86.00,-0.25,['-0.29%(1 day Delay)']
W. Cen. Tx. Inter.,92.50,-0.25,['-0.27%(1 day Delay)']
East Texas Sweet,89.75,-0.25,['-0.28%(1 day Delay)']
Arkansas Sweet,91.00,-5.75,['-5.94%(2\n\tdays Delay)']
Arkansas Sour,88.50,-5.75,['-6.10%(2\n\tdays Delay)']
Arkansas Ex Heavy,84.50,-5.75,['-6.37%(2\n\tdays Delay)']
Buena Vista,104.97,-5.73,['-5.18%(2\n\tdays Delay)']
Midway-Sunset,100.92,-5.73,['-5.37%(2\n\tdays Delay)']
Colorado South East,83.21,-5.73,['-6.44%(2\n\tdays Delay)']
Kansas Common,86.50,-5.75,['-6.23%(2\n\tdays Delay)']
Eastern Kansas,120.00,+41.17,['+52.23%(2\n\tmonths Delay)']
NW Kansas Sweet,84.21,-5.73,['-6.37%(2\n\tdays Delay)']
SW Kansas Sweet,84.71,-5.73,['-6.34%(2\n\tdays Delay)']
Delhi/N. Louisiana,89.50,-0.25,['-0.28%(1 day Delay)']
South Louisiana,91.00,-0.25,['-0.27%(1 day Delay)']
North Louisiana Sweet,91.00,-5.75,['-5.94%(2\n\tdays Delay)']
Michigan Sour,84.50,-0.25,['-0.29%(1 day Delay)']
Michigan Sweet,89.25,-0.25,['-0.28%(1 day Delay)']
Nebraska Sweet,84.01,-5.73,['-6.39%(2\n\tdays Delay)']
Oklahoma Sweet,92.50,-0.25,['-0.27%(1 day Delay)']
Oklahoma Sour,80.50,-0.25,['-0.31%(1 day Delay)']
Western Oklahoma Swt.,91.75,-0.25,['-0.27%(1 day Delay)']
Oklahoma Intermediate,92.25,-0.25,['-0.27%(1 day Delay)']
Wyoming General Sour,89.29,-5.73,['-6.03%(2\n\tdays Delay)']
Wyoming General Sweet,89.81,-5.73,['-6.00%(2\n\tdays Delay)']
Arab Light,86.15,+10.66,['+14.12%(January. Price)']
Basrah Light,84.88,+10.79,['+14.56%(January. Price)']
Bonny Light,86.85,+12.42,['+16.69%(January. Price)']
Es Sider,86.16,+12.81,['+17.46%(January. Price)']
Girassol,88.28,+13.12,['+17.46%(January. Price)']
Iran Heavy,85.59,+10.91,['+14.61%(January. Price)']
Kuwait Export,86.28,+10.90,['+14.46%(January. Price)']
Merey,63.58,+8.69,['+15.83%(January. Price)']
Murban,85.11,+10.54,['+14.13%(January. Price)']
Saharan Blend,88.21,+12.71,['+16.83%(January. Price)']
